#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
1678,2.0915E-01,2.0365E-01,4.7498E+02
1679,2.1303E-01,2.0741E-01,4.8437E+02
1680,2.0558E-01,2.0017E-01,4.6799E+02
1681,1.9447E-01,1.8936E-01,4.4322E+02
1682,2.0366E-01,1.9830E-01,4.6472E+02
1683,2.0906E-01,2.0357E-01,4.7761E+02
1684,1.9797E-01,1.9283E-01,4.5281E+02
1685,2.1321E-01,2.0763E-01,4.8825E+02
1686,2.1026E-01,2.0476E-01,4.8206E+02
1687,2.0484E-01,1.9951E-01,4.7020E+02
1688,2.1013E-01,2.0465E-01,4.8291E+02
1689,2.0718E-01,2.0178E-01,4.7670E+02
1690,2.0523E-01,1.9991E-01,4.7277E+02
1691,1.9303E-01,1.8808E-01,4.4519E+02
1692,2.0708E-01,2.0174E-01,4.7816E+02
1693,2.1134E-01,2.0587E-01,4.8857E+02
1694,2.0477E-01,1.9950E-01,4.7394E+02
1695,2.0968E-01,2.0427E-01,4.8588E+02
1696,2.0922E-01,2.0383E-01,4.8539E+02
1697,1.8107E-01,1.7649E-01,4.2058E+02
1698,2.0739E-01,2.0207E-01,4.8228E+02
1699,2.0551E-01,2.0024E-01,4.7847E+02
1700,1.9975E-01,1.9464E-01,4.6561E+02
1702,2.0396E-01,1.9874E-01,4.7654E+02
1705,1.9778E-01,1.9275E-01,4.6373E+02
1710,1.8790E-01,1.8316E-01,4.4315E+02
1715,1.8965E-01,1.8490E-01,4.4990E+02
1720,1.8698E-01,1.8231E-01,4.4615E+02
1725,1.7808E-01,1.7367E-01,4.2739E+02
1730,1.7407E-01,1.6979E-01,4.2019E+02
1735,1.6154E-01,1.5758E-01,3.9220E+02
1740,1.6818E-01,1.6405E-01,4.1068E+02
1745,1.5481E-01,1.5105E-01,3.8021E+02
1750,1.6566E-01,1.6162E-01,4.0919E+02
1755,1.5301E-01,1.4931E-01,3.8011E+02
1760,1.5998E-01,1.5608E-01,3.9969E+02
1765,1.3284E-01,1.2967E-01,3.3377E+02
1770,1.4172E-01,1.3831E-01,3.5811E+02
1775,1.1484E-01,1.1213E-01,2.9183E+02
1780,1.0050E-01,9.8143E-02,2.5683E+02
1785,7.6981E-02,7.5201E-02,1.9783E+02
1790,8.8904E-02,8.6831E-02,2.2975E+02
1795,4.6931E-02,4.5864E-02,1.2196E+02
1800,3.1828E-02,3.1112E-02,8.3174E+01
1805,1.4815E-02,1.4485E-02,3.8930E+01
1810,9.6911E-03,9.4762E-03,2.5607E+01
1815,3.2816E-03,3.2093E-03,8.7191E+00
1820,9.8755E-04,9.6578E-04,2.6384E+00
1825,1.2744E-03,1.2463E-03,3.4235E+00
1830,5.2041E-06,5.0896E-06,1.4057E-02
1835,6.4190E-06,6.2784E-06,1.7433E-02
1840,6.2703E-08,6.1337E-08,1.7122E-04
1845,6.2658E-06,6.1298E-06,1.7203E-02
1850,2.9993E-06,2.9348E-06,8.2794E-03
1855,2.8396E-07,2.7795E-07,7.8810E-04
1860,1.1151E-05,1.0920E-05,3.1115E-02
1865,1.6982E-05,1.6644E-05,4.7641E-02
1870,2.6662E-10,2.6148E-10,7.5199E-07
1875,4.5130E-10,4.4296E-10,1.2797E-06
1880,7.7505E-05,7.6123E-05,2.2094E-01
1885,4.3890E-05,4.3129E-05,1.2578E-01
1890,2.2333E-04,2.1956E-04,6.4343E-01
1895,1.2947E-04,1.2743E-04,3.7499E-01
1900,8.6221E-07,8.4916E-07,2.5105E-03
1905,5.6667E-07,5.5798E-07,1.6586E-03
1910,2.3045E-05,2.2726E-05,6.7807E-02
1915,1.9947E-05,1.9673E-05,5.9000E-02
1920,4.5069E-04,4.4451E-04,1.3400E+00
1925,9.3615E-04,9.2326E-04,2.7980E+00
1930,5.5242E-04,5.4474E-04,1.6597E+00
1935,3.5935E-03,3.5428E-03,1.0852E+01
1940,3.2821E-03,3.2357E-03,9.9630E+00
1945,1.0863E-02,1.0707E-02,3.3145E+01
1950,1.6727E-02,1.6482E-02,5.1300E+01
1955,1.0036E-02,9.8860E-03,3.0938E+01
1960,2.1906E-02,2.1569E-02,6.7875E+01
1965,2.8563E-02,2.8114E-02,8.8953E+01
1970,4.8847E-02,4.8055E-02,1.5290E+02
1975,6.7857E-02,6.6730E-02,2.1348E+02
1980,7.5512E-02,7.4234E-02,2.3877E+02
1985,8.3063E-02,8.1625E-02,2.6397E+02
1990,8.5613E-02,8.4124E-02,2.7345E+02
1995,8.1190E-02,7.9787E-02,2.6063E+02
2000,3.8156E-02,3.7491E-02,1.2310E+02
2005,1.5001E-02,1.4747E-02,4.8639E+01
2010,3.9748E-02,3.9071E-02,1.2952E+02
2015,2.6648E-02,2.6208E-02,8.7267E+01
2020,4.4981E-02,4.4239E-02,1.4804E+02
2025,7.4010E-02,7.2779E-02,2.4478E+02
2030,8.4856E-02,8.3460E-02,2.8204E+02
2035,9.6386E-02,9.4808E-02,3.2194E+02
2040,8.9781E-02,8.8344E-02,3.0136E+02
2045,9.1074E-02,8.9636E-02,3.0720E+02
2050,6.7927E-02,6.6892E-02,2.3024E+02
2055,5.4906E-02,5.4090E-02,1.8702E+02
2060,6.9193E-02,6.8157E-02,2.3683E+02
2065,6.1875E-02,6.0962E-02,2.1281E+02
2070,6.5676E-02,6.4715E-02,2.2698E+02
2075,7.7443E-02,7.6305E-02,2.6894E+02
2080,8.6812E-02,8.5528E-02,3.0293E+02
2085,8.5102E-02,8.3847E-02,2.9839E+02
2090,8.9100E-02,8.7779E-02,3.1391E+02
2095,8.9747E-02,8.8421E-02,3.1770E+02
2100,8.6133E-02,8.4869E-02,3.0637E+02
2105,9.3153E-02,9.1771E-02,3.3292E+02
2110,8.9654E-02,8.8320E-02,3.2194E+02
2115,9.1673E-02,9.0308E-02,3.3075E+02
2120,8.7588E-02,8.6281E-02,3.1750E+02
2125,8.8632E-02,8.7303E-02,3.2281E+02
2130,8.9774E-02,8.8422E-02,3.2851E+02
2135,9.0044E-02,8.8679E-02,3.3104E+02
2140,9.0767E-02,8.9390E-02,3.3527E+02
2145,8.9486E-02,8.8132E-02,3.3208E+02
2150,8.4639E-02,8.3369E-02,3.1556E+02
2155,8.4840E-02,8.3566E-02,3.1778E+02
2160,8.4170E-02,8.2912E-02,3.1674E+02
2165,7.6310E-02,7.5175E-02,2.8849E+02
2170,8.1996E-02,8.0776E-02,3.1142E+02
2175,8.0448E-02,7.9257E-02,3.0695E+02
2180,8.1808E-02,8.0597E-02,3.1358E+02
2185,7.4550E-02,7.3458E-02,2.8707E+02
2190,7.9068E-02,7.7905E-02,3.0586E+02
2195,7.8992E-02,7.7833E-02,3.0696E+02
2200,7.1202E-02,7.0175E-02,2.7795E+02
2205,7.4010E-02,7.2947E-02,2.9023E+02
2210,7.9315E-02,7.8174E-02,3.1244E+02
2215,7.6273E-02,7.5189E-02,3.0182E+02
2220,7.7730E-02,7.6631E-02,3.0898E+02
2225,7.5453E-02,7.4400E-02,3.0128E+02
2230,7.5773E-02,7.4727E-02,3.0392E+02
2235,7.4299E-02,7.3290E-02,2.9934E+02
2240,7.3118E-02,7.2140E-02,2.9591E+02
2245,7.0838E-02,6.9911E-02,2.8796E+02
2250,7.1937E-02,7.1034E-02,2.9373E+02
2255,6.7690E-02,6.6865E-02,2.7762E+02
2260,6.6929E-02,6.6143E-02,2.7572E+02
2265,6.8137E-02,6.7355E-02,2.8194E+02
2270,6.4867E-02,6.4138E-02,2.6959E+02
2275,6.4021E-02,6.3309E-02,2.6725E+02
2280,6.6288E-02,6.5551E-02,2.7793E+02
2285,6.3080E-02,6.2389E-02,2.6564E+02
2290,6.3220E-02,6.2534E-02,2.6740E+02
2295,6.1265E-02,6.0603E-02,2.6026E+02
2300,5.8824E-02,5.8193E-02,2.5098E+02
2305,5.9171E-02,5.8544E-02,2.5356E+02
2310,6.3870E-02,6.3189E-02,2.7489E+02
2315,5.8141E-02,5.7528E-02,2.5131E+02
2320,5.2031E-02,5.1489E-02,2.2588E+02
2325,5.6215E-02,5.5626E-02,2.4509E+02
2330,5.6824E-02,5.6231E-02,2.4882E+02
2335,5.7967E-02,5.7362E-02,2.5491E+02
2340,4.5836E-02,4.5366E-02,2.0243E+02
2345,5.1400E-02,5.0869E-02,2.2797E+02
2350,4.1536E-02,4.1115E-02,1.8501E+02
2355,4.7473E-02,4.6988E-02,2.1235E+02
2360,5.0237E-02,4.9724E-02,2.2567E+02
2365,4.9409E-02,4.8909E-02,2.2290E+02
2370,3.0817E-02,3.0514E-02,1.3961E+02
2375,4.4147E-02,4.3704E-02,2.0085E+02
2380,4.2552E-02,4.2128E-02,1.9441E+02
2385,3.0826E-02,3.0525E-02,1.4143E+02
2390,3.7109E-02,3.6748E-02,1.7097E+02
2395,4.0594E-02,4.0199E-02,1.8780E+02
2400,4.4150E-02,4.3726E-02,2.0511E+02
2405,3.3599E-02,3.3286E-02,1.5674E+02
2410,3.3813E-02,3.3504E-02,1.5840E+02
2415,2.7300E-02,2.7058E-02,1.2842E+02
2420,2.6590E-02,2.6358E-02,1.2560E+02
2425,3.3078E-02,3.2802E-02,1.5689E+02
2430,4.5099E-02,4.4725E-02,2.1479E+02
2435,1.4878E-02,1.4765E-02,7.1150E+01
2440,4.3249E-02,4.2926E-02,2.0768E+02
2445,2.0798E-02,2.0657E-02,1.0028E+02
2450,1.3611E-02,1.3523E-02,6.5896E+01
2455,2.4853E-02,2.4695E-02,1.2081E+02
2460,3.3363E-02,3.3157E-02,1.6284E+02
2465,2.4148E-02,2.4009E-02,1.1834E+02
2470,1.6727E-02,1.6635E-02,8.2309E+01
2475,1.6455E-02,1.6368E-02,8.1298E+01
2480,8.0395E-03,7.9996E-03,3.9881E+01
2485,5.6102E-03,5.5840E-03,2.7942E+01
2490,3.5113E-03,3.4957E-03,1.7559E+01
2495,2.8772E-03,2.8647E-03,1.4446E+01
2500,7.0642E-03,7.0328E-03,3.5610E+01
2505,1.5191E-03,1.5124E-03,7.6884E+00
2510,2.2163E-03,2.2063E-03,1.1262E+01
2515,5.1880E-04,5.1644E-04,2.6467E+00
2520,3.7054E-04,3.6879E-04,1.8979E+00
2525,4.1393E-05,4.1194E-05,2.1285E-01
2530,6.3593E-07,6.3279E-07,3.2831E-03
2535,1.7502E-07,1.7415E-07,9.0715E-04
2540,3.7716E-07,3.7521E-07,1.9626E-03
2545,5.3758E-11,5.3469E-11,2.8084E-07
2550,2.8222E-13,2.8066E-13,1.4801E-09
2555,1.0435E-09,1.0377E-09,5.4942E-06
2560,3.1020E-11,3.0842E-11,1.6397E-07
2565,1.5955E-14,1.5846E-14,8.4665E-11
2570,1.5258E-18,1.5151E-18,8.1283E-15
2575,1.0786E-27,1.0708E-27,5.7683E-24
2580,3.8214E-22,3.7933E-22,2.0516E-18
2585,1.7194E-34,1.7064E-34,9.2668E-31
2590,5.4793E-31,5.4369E-31,2.9645E-27
2595,2.2838E-33,2.2666E-33,1.2404E-29
2600,4.4912E-28,4.4556E-28,2.4487E-24
2605,5.8053E-35,5.7592E-35,3.1774E-31
2610,5.9447E-34,5.8970E-34,3.2662E-30
2615,1.1196E-37,1.1106E-37,6.1750E-34
2620,5.6505E-29,5.6056E-29,3.1284E-25
2625,3.8687E-28,3.8378E-28,2.1501E-24
2630,2.8026E-45,2.8026E-45,1.5635E-41
2635,3.9027E-16,3.8719E-16,2.1855E-12
2640,1.1750E-16,1.1657E-16,6.6051E-13
2645,8.9988E-19,8.9292E-19,5.0777E-15
2650,1.4295E-19,1.4186E-19,8.0967E-16
2655,1.3133E-27,1.3036E-27,7.4667E-24
2660,2.6068E-25,2.5880E-25,1.4877E-21
2665,1.1123E-37,1.1045E-37,6.3716E-34
2670,0.0000E+00,0.0000E+00,0.0000E+00
2675,0.0000E+00,0.0000E+00,0.0000E+00
2680,0.0000E+00,0.0000E+00,0.0000E+00
2685,0.0000E+00,0.0000E+00,0.0000E+00
2690,1.0226E-29,1.0178E-29,5.9682E-26
2695,7.1284E-33,7.1014E-33,4.1758E-29
2700,0.0000E+00,0.0000E+00,0.0000E+00
