#""Wavelength (nm)""",Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,Photon Flux (Global Tilt)
3470,1.2264E-02,1.2386E-02,1.1910E+02
3475,1.0943E-02,1.1051E-02,1.0658E+02
3480,1.1224E-02,1.1335E-02,1.0963E+02
3485,1.2094E-02,1.2212E-02,1.1847E+02
3490,1.0419E-02,1.0520E-02,1.0236E+02
3495,1.2265E-02,1.2383E-02,1.2084E+02
3500,1.1917E-02,1.2032E-02,1.1774E+02
3505,1.1809E-02,1.1923E-02,1.1701E+02
3510,1.1963E-02,1.2077E-02,1.1887E+02
3515,1.1494E-02,1.1598E-02,1.1454E+02
3520,1.2122E-02,1.2226E-02,1.2114E+02
3525,1.1428E-02,1.1523E-02,1.1453E+02
3530,1.1127E-02,1.1217E-02,1.1183E+02
3535,9.4556E-03,9.5305E-03,9.5302E+01
3540,9.0310E-03,9.1011E-03,9.1280E+01
3545,9.5432E-03,9.6154E-03,9.6730E+01
3550,1.0538E-02,1.0616E-02,1.0711E+02
3555,9.0581E-03,9.1245E-03,9.2332E+01
3560,1.0795E-02,1.0872E-02,1.1035E+02
3565,1.0851E-02,1.0928E-02,1.1123E+02
3570,8.3376E-03,8.3951E-03,8.5706E+01
3575,8.6444E-03,8.7028E-03,8.9109E+01
3580,1.0187E-02,1.0255E-02,1.0530E+02
3585,9.1671E-03,9.2282E-03,9.5026E+01
3590,9.4523E-03,9.5145E-03,9.8256E+01
3595,9.6700E-03,9.7329E-03,1.0080E+02
3600,1.0262E-02,1.0328E-02,1.0727E+02
3605,1.0359E-02,1.0425E-02,1.0858E+02
3610,9.4787E-03,9.5385E-03,9.9632E+01
3615,9.4726E-03,9.5318E-03,9.9843E+01
3620,1.1614E-02,1.1686E-02,1.2275E+02
3625,1.0239E-02,1.0302E-02,1.0852E+02
3630,9.9550E-03,1.0016E-02,1.0580E+02
3635,1.0299E-02,1.0362E-02,1.0976E+02
3640,1.1480E-02,1.1549E-02,1.2268E+02
3645,1.0599E-02,1.0663E-02,1.1358E+02
3650,1.0123E-02,1.0183E-02,1.0877E+02
3655,1.0978E-02,1.1042E-02,1.1829E+02
3660,1.0914E-02,1.0978E-02,1.1792E+02
3665,1.0253E-02,1.0313E-02,1.1108E+02
3670,7.9003E-03,7.9464E-03,8.5824E+01
3675,4.8286E-03,4.8569E-03,5.2598E+01
3680,8.3312E-03,8.3789E-03,9.0999E+01
3685,9.4380E-03,9.4906E-03,1.0337E+02
3690,9.6922E-03,9.7458E-03,1.0644E+02
3695,1.0132E-02,1.0188E-02,1.1157E+02
3700,1.0878E-02,1.0937E-02,1.2011E+02
3705,1.0770E-02,1.0827E-02,1.1924E+02
3710,9.3640E-03,9.4130E-03,1.0395E+02
3715,9.2254E-03,9.2731E-03,1.0269E+02
3720,1.0376E-02,1.0429E-02,1.1581E+02
3725,1.0698E-02,1.0751E-02,1.1973E+02
3730,9.2707E-03,9.3169E-03,1.0403E+02
3735,8.5837E-03,8.6260E-03,9.6580E+01
3740,8.8494E-03,8.8923E-03,9.9837E+01
3745,1.0331E-02,1.0380E-02,1.1686E+02
3750,9.2903E-03,9.3341E-03,1.0537E+02
3755,8.9918E-03,9.0336E-03,1.0226E+02
3760,8.8633E-03,8.9041E-03,1.0107E+02
3765,8.5502E-03,8.5891E-03,9.7755E+01
3770,9.1243E-03,9.1649E-03,1.0460E+02
3775,9.0521E-03,9.0918E-03,1.0404E+02
3780,9.5746E-03,9.6158E-03,1.1034E+02
3785,8.8123E-03,8.8498E-03,1.0183E+02
3790,7.7564E-03,7.7891E-03,8.9861E+01
3795,8.8692E-03,8.9056E-03,1.0302E+02
3800,9.8592E-03,9.8988E-03,1.1483E+02
3805,9.3049E-03,9.3414E-03,1.0866E+02
3810,8.2451E-03,8.2771E-03,9.6534E+01
3815,7.7569E-03,7.7867E-03,9.1057E+01
3820,9.6550E-03,9.6908E-03,1.1364E+02
3825,9.5056E-03,9.5402E-03,1.1217E+02
3830,9.5925E-03,9.6268E-03,1.1349E+02
3835,7.6916E-03,7.7190E-03,9.1239E+01
3840,8.9756E-03,9.0066E-03,1.0675E+02
3845,8.7801E-03,8.8097E-03,1.0469E+02
3850,8.8274E-03,8.8569E-03,1.0553E+02
3855,8.5085E-03,8.5365E-03,1.0198E+02
3860,7.9940E-03,8.0197E-03,9.6067E+01
3865,8.0989E-03,8.1248E-03,9.7580E+01
3870,7.3604E-03,7.3839E-03,8.8911E+01
3875,6.7620E-03,6.7832E-03,8.1894E+01
3880,6.5340E-03,6.5543E-03,7.9337E+01
3885,6.7717E-03,6.7926E-03,8.2435E+01
3890,6.8818E-03,6.9028E-03,8.3991E+01
3895,7.4760E-03,7.4983E-03,9.1478E+01
3900,7.9254E-03,7.9487E-03,9.7226E+01
3905,7.9269E-03,7.9500E-03,9.7494E+01
3910,7.1353E-03,7.1560E-03,8.7983E+01
3915,6.9868E-03,7.0070E-03,8.6373E+01
3920,6.9466E-03,6.9665E-03,8.6095E+01
3925,6.8520E-03,6.8714E-03,8.5139E+01
3930,7.0502E-03,7.0699E-03,8.7825E+01
3935,7.3541E-03,7.3743E-03,9.1844E+01
3940,7.4027E-03,7.4228E-03,9.2686E+01
3945,7.5412E-03,7.5613E-03,9.4660E+01
3950,7.6277E-03,7.6475E-03,9.5989E+01
3955,7.7199E-03,7.7399E-03,9.7395E+01
3960,7.7482E-03,7.7679E-03,9.8000E+01
3965,7.8057E-03,7.8253E-03,9.8976E+01
3970,7.6806E-03,7.6997E-03,9.7636E+01
3975,7.5097E-03,7.5280E-03,9.5704E+01
3980,7.3872E-03,7.4049E-03,9.4380E+01
3985,7.4327E-03,7.4503E-03,9.5200E+01
3990,7.3723E-03,7.3894E-03,9.4663E+01
3995,7.2100E-03,7.2263E-03,9.2812E+01
4000,7.1043E-03,7.1199E-03,9.1680E+01
